embedding,vow,num,jap,kor,hand,overall
SiameseEmbedding,100.0,60.0,10.0,27.27272727272727,50.0,49.45454545454545
LeNet5,20.0,10.0,10.0,9.090909090909092,10.0,11.818181818181818
LeNet5Mod1,40.0,70.0,20.0,9.090909090909092,30.0,33.81818181818182
LeNet5Mod2,20.0,10.0,20.0,9.090909090909092,10.0,13.818181818181818
SiameseEmbeddingMod,100.0,30.0,60.0,54.54545454545454,60.0,60.9090909090909
UltraMinimalEmbedding,100.0,20.0,70.0,81.81818181818183,50.0,64.36363636363636
UltraMinimalEmbeddingMod,100.0,100.0,100.0,100.0,100.0,100.0
DepthwiseOnlyEmbedding,100.0,100.0,100.0,100.0,100.0,100.0
SqueezeNetLiteEmbedding,100.0,100.0,100.0,100.0,100.0,100.0
UltraDepthwiseHybridLight1,0.0,0.0,0.0,0.0,0.0,0.0
UltraDepthwiseHybridLight2,0.0,0.0,0.0,0.0,0.0,0.0
UltraDepthwiseHybridLight3,0.0,0.0,0.0,0.0,0.0,0.0
